id,gare,geo_point,uic
2676780048,Chaville - Rive Droite,"48.8123681, 2.1881892",8738233
188786652,Herblay,"48.99036212048765, 2.162032507024677",8738188
3781197356,Bibliothèque François Mitterrand,"48.829066, 2.3773347",8732832
2803664957,Aubergenville Élisabethville,"48.9721018, 1.8480428999999998",8738673
3781200931,Bibliothèque François Mitterrand,"48.8293178, 2.3771224",8732832
2803664791,Aubergenville Élisabethville,"48.9718371, 1.8483017",8738673
3783202452,Bibliothèque François Mitterrand,"48.8296694, 2.3758736",8732832
2803664944,Aubergenville Élisabethville,"48.9720435, 1.8482536999999999",8738673
2678897785,Saint-Fargeau,"48.5652241, 2.5425266",8768254
2816232683,Mantes la Jolie,"48.9897588, 1.7035738999999999",8738150
318980973,Saint-Lazare,"48.87728625, 2.3234575",8738400
2816232690,Mantes la Jolie,"48.9896403, 1.7037005",8738150
2679385847,Boissise-le-Roi,"48.5293364, 2.5728801",8768251
2816232699,Mantes la Jolie,"48.9898019, 1.7033138",8738150
3837890485,Bibliothèque François Mitterrand,"48.8292849, 2.3772656",8732832
2816307637,Mantes la Jolie,"48.9895541, 1.7031219",8738150
2697589347,Cesson,"48.5648758, 2.5940355",8768216
2816307644,Mantes la Jolie,"48.9895966, 1.7033593",8738150
2696425999,Vaucresson,"48.8366735, 2.1527461",8738226
2818075947,Mantes la Jolie,"48.9893396, 1.7037014",8738150
3093823688,Paris Austerlitz,"48.8420874, 2.3650036",8754700
2818368960,Mantes la Jolie,"48.9884233, 1.7037068999999998",8738150
3093823730,Paris Austerlitz,"48.8412754, 2.366447",8754700
2818369049,Mantes la Jolie,"48.9892986, 1.7029326",8738150
2696426053,Vaucresson,"48.8369664, 2.1523567",8738226
2818369064,Mantes la Jolie,"48.9895097, 1.7027929",8738150
337206178,Bibliothèque François Mitterrand,"48.8282605, 2.37831335",8732832
2818369068,Mantes la Jolie,"48.9895274, 1.70275",8738150
3616843449,Gare de Lyon,"48.8426238, 2.3770403",8768600
4217523118,Mantes la Jolie,"48.9898631, 1.7032995999999998",8738150
2696186080,Garches - Marnes la Coquette,"48.8383476, 2.186955",8738225
1480156288,Mantes la Jolie,"48.9880173, 1.7045407",8738150
3618879310,Gare de Lyon,"48.8437875, 2.3772019",8768600
2816232617,Mantes la Jolie,"48.9888299, 1.7053431",8738150
3632348594,Gare de Lyon,"48.8441175, 2.3758883",8768600
2818368936,Mantes la Jolie,"48.9880667, 1.7041092",8738150
3665190583,Gare de Lyon,"48.8447565, 2.3751614",8768600
2818226157,Juziers,"48.9921833, 1.84543",8738155
3742655578,Gare de Lyon,"48.8445196, 2.3734999",8768600
2818226162,Juziers,"48.9921907, 1.8455378",8738155
320306269,Bibliothèque François Mitterrand,"48.8301023, 2.3775036",8732832
2818226171,Juziers,"48.9922029, 1.8447109",8738155
403517973,Gare de L'Est,"48.877485471750994, 2.359482719867549",8711300
2818226180,Juziers,"48.9922779, 1.8455355999999998",8738155
320306335,Bibliothèque François Mitterrand,"48.830037950000005, 2.377405699999999",8732832
2818226185,Juziers,"48.9922791, 1.8446844",8738155
2621601835,Vernouillet - Verneuil-sur-Seine,"48.9807067, 1.9824293",8738665
404730134,Gare de L'Est,"48.87615799982229, 2.36009642472324",8711300
2790107155,Vernouillet - Verneuil-sur-Seine,"48.980865, 1.9839856",8738665
2811567794,Saint-Germain-en-Laye - Bel Air - Fourqueux,"48.8948485, 2.0704626",8736692
404730141,Gare de L'Est,"48.87614980162838, 2.360077014457882",8711300
2812965341,Mareil-Marly,"48.881042, 2.0789414",8738281
2506241285,Gare de L'Est,"48.8770807, 2.3594553",8711300
2794944896,Saint-Germain Grande Ceinture,"48.9035428, 2.0730843",8738280
406620916,Gare de Lyon,"48.84458205, 2.3726978",8768600
3319986094,Saint-Germain Grande Ceinture,"48.9029138, 2.0729281",8738280
2847425347,Gare de L'Est,"48.8772181, 2.3594482",8711300
2792351017,Villennes-Sur-Seine,"48.9395151, 1.9997354",8738664
3132035042,Gare de L'Est,"48.878836, 2.3608192",8711300
2792351058,Villennes-Sur-Seine,"48.9396578, 1.9994564",8738664
408882640,Gare de Lyon,"48.843448800000004, 2.3742644",8768600
2792351107,Villennes-Sur-Seine,"48.94014, 1.9994201",8738664
3132092657,Gare de L'Est,"48.8762799, 2.3597728",8711300
2604522883,Poissy,"48.9334008, 2.0421626",8738657
13989559,Gare de L'Est,"48.87878093917047, 2.36048758837615",8711300
2793808168,Poissy,"48.9331044, 2.041197",8738657
319644608,Bibliothèque François Mitterrand,"48.82970055, 2.3768689",8732832
2809097526,Le Perray en Yvelines,"48.6932518, 1.8562116",8739329
3526437698,Gare de L'Est,"48.8790685, 2.3622331",8711300
2809097547,Le Perray en Yvelines,"48.6933914, 1.8565963",8739329
4097707219,Gare de L'Est,"48.8771714, 2.3599952",8711300
2809097549,Le Perray en Yvelines,"48.6934222, 1.8567983",8739329
4098083146,Gare de L'Est,"48.876621, 2.3601562",8711300
2809097559,Le Perray en Yvelines,"48.6936067, 1.8568825",8739329
319929030,Bibliothèque François Mitterrand,"48.82974992968352, 2.378023414415413",8732832
2754808860,Orgerus - Béhoust,"48.8267205, 1.7029549",8739344
4221544765,Péreire Levallois,"48.8865158, 2.300713",8738101
2754808887,Orgerus - Béhoust,"48.8267428, 1.7013007999999998",8739344
2709065454,Le Mée-sur-Seine,"48.5388615, 2.6252353",8768217
2756479118,Orgerus - Béhoust,"48.8266547, 1.7032745999999999",8739344
2833596064,Pont Cardinet,"48.8876919, 2.3141354",8738111
2756479142,Orgerus - Béhoust,"48.8267002, 1.7028932",8739344
320306045,Bibliothèque François Mitterrand,"48.82982895, 2.375924099999999",8732832
2790468513,Garancières - La Queue,"48.8103204, 1.7649699",8739343
2679292543,Melun,"48.5273961, 2.6545631",8768200
2790468529,Garancières - La Queue,"48.8103712, 1.7648389",8739343
3232279444,Gare du Nord,"48.8823574, 2.3576923",8727102
2790468531,Garancières - La Queue,"48.8103792, 1.7647876999999998",8739343
320306056,Bibliothèque François Mitterrand,"48.82921245, 2.37719775",8732832
2790468571,Garancières - La Queue,"48.8105268, 1.7649447",8739343
374743877,Bibliothèque François Mitterrand,"48.829157181559694, 2.377504037913488",8732832
2756386300,Monfort l'Amaury - Méré,"48.8025794, 1.8172188",8739389
4088291288,Gare du Nord,"48.8800823, 2.3560078",8727102
2756386341,Monfort l'Amaury - Méré,"48.802692, 1.8163184",8739389
2710172008,Le Mée-sur-Seine,"48.539527, 2.6245277",8768217
2709011708,Villiers - Neauphle - Pontchartrain,"48.8154625, 1.8774928",8739388
4102393093,Paris Austerlitz,"48.8412905, 2.3658816",8754700
699691240,Beynes,"48.8593963, 1.8757747999999999",8739336
4089563527,Gare du Nord,"48.8803428, 2.3568174",8727102
2721469464,Beynes,"48.8596257, 1.8756324",8739336
4102393121,Paris Austerlitz,"48.8413256, 2.3659345",8754700
2809165052,Les-Essarts-le-Roi,"48.7217558, 1.8898791",8739328
4102800277,Paris Austerlitz,"48.8412785, 2.3666916000000002",8754700
2692630728,La Verrière,"48.7552392, 1.9430397",8739325
4089563572,Gare du Nord,"48.881047, 2.3575934",8727102
2692630747,La Verrière,"48.7553595, 1.944025",8739325
4089563586,Gare du Nord,"48.8815786, 2.3571464",8727102
2692630804,La Verrière,"48.7555165, 1.942427",8739325
2813829837,Guérard - La Celle-sur-Morin,"48.8107051, 2.9540489",8711626
2726185969,La Verrière,"48.7552347, 1.9436893",8739325
330054803,Gare de Lyon,"48.8453398, 2.3741391",8768600
2692630813,La Verrière,"48.7555355, 1.9441825",8739325
2797534591,Coulommiers,"48.8077267, 3.0821812",8711630
151228993,Savigny sur Orge,"48.675224150000005, 2.351954",8754523
132572661,Gare de L'Est,"48.8774396, 2.3592871",8711300
2692630858,La Verrière,"48.755652, 1.9437484",8739325
380890135,Bibliothèque François Mitterrand,"48.82887256146183, 2.3775562551450022",8732832
412450815,Savigny sur Orge,"48.675931649999995, 2.3528995",8754523
3957421415,Trilport,"48.9601328, 2.9496295999999997",8711649
4158907346,Brunoy,"48.6991028, 2.5063775",8768212
3159295992,Gare de Lyon,"48.8446984, 2.3752478",8768600
2793808299,Poissy,"48.9336749, 2.0410688",8738657
2734467853,Changis Saint-Jean,"48.9593084, 3.0253115",8711650
4210466864,Poissy,"48.9334293, 2.0409242",8738657
3163720358,Gare de Lyon,"48.8444349, 2.3730648",8768600
2795315554,Triel Sur Seine,"48.9816883, 2.0053459",8738180
449028177,La Ferté-sous-Jouarre,"48.9508874, 3.12544",8711651
2812895566,Chanteloup-les-Vignes,"48.9705088, 2.0275481",8738147
115867964,Gare de Lyon,"48.84419024933084, 2.374759590161148",8768600
2813498254,Achères-Grand Cormier,"48.9551682, 2.0922109",8738605
3277739675,Crouy-sur-Ourcq,"49.0916611, 3.0627773",8711664
2813587466,Andrésy,"48.9743155, 2.0483466",8738149
3164498183,Gare de Lyon,"48.8443764, 2.3759768",8768600
2813589109,Andrésy,"48.9748443, 2.0493485",8738149
3166377809,Gare de Lyon,"48.8434319, 2.374679",8768600
2813475336,Achères - Ville,"48.9701706, 2.0773524",8738165
334005174,Saint-Lazare,"48.87614705000001, 2.32598305",8738400
2813475337,Achères - Ville,"48.9701868, 2.0774136",8738165
334477951,Saint-Lazare,"48.87606052700104, 2.325078395843169",8738400
2813475348,Achères - Ville,"48.9702407, 2.0774283",8738165
150234227,Gare de Lyon,"48.84370185, 2.37625325",8768600
2813475315,Achères - Ville,"48.9700742, 2.0778483",8738165
402348730,Saint-Lazare,"48.87614041659536, 2.325929477544009",8738400
2813475326,Achères - Ville,"48.9700918, 2.0776543",8738165
407732746,Haussmann - Saint-Lazare,"48.874679650000004, 2.3266361",8728189
2792412758,Les Mureaux,"48.9923033, 1.9127817999999999",8738668
452289946,Souppes-sur-Loing - Château-Landon,"48.181054950000004, 2.7367568",8768421
2792412802,Les Mureaux,"48.9925023, 1.9136050999999998",8738668
4099144386,Gare du Nord,"48.8806745, 2.3540558",8727102
2792412805,Les Mureaux,"48.9925141, 1.9131391999999998",8738668
4099925184,Gare du Nord,"48.8816958, 2.3576367",8727102
2792412831,Les Mureaux,"48.9925259, 1.9135772",8738668
407987758,Haussmann - Saint-Lazare,"48.87479476631812, 2.328632866400067",8728189
2792412834,Les Mureaux,"48.9925287, 1.9135157",8738668
246113872,Avenue du Président Kennedy,"48.85377955, 2.279132299999999",8754320
2792412836,Les Mureaux,"48.9925378, 1.9131816",8738668
423570865,Avenue Foch,"48.868747, 2.27403945",8738103
2792412856,Les Mureaux,"48.9925809, 1.9133057",8738668
355605359,Gare de Lyon,"48.84451050871659, 2.376109688654581",8768600
2792412901,Les Mureaux,"48.992645, 1.9129407",8738668
409279727,Gare Montparnasse,"48.84090023234862, 2.319574144700516",8739100
2813206315,Meulan - Hardricourt,"49.0055383, 1.9010367",8738183
355771835,Gare de Lyon,"48.84388036909093, 2.37551908551278",8768600
2756572451,Houdan,"48.7961023, 1.6023797",8739346
403883868,Gare du Nord,"48.88009438239738, 2.355241732489682",8727102
2759364141,Houdan,"48.7958572, 1.6030889",8739346
80861762,Gare Montparnasse,"48.83895422555514, 2.318853217672896",8739100
2759364184,Houdan,"48.7959182, 1.6027095999999998",8739346
294823438,Champagne-sur-Seine,"48.406599819305946, 2.799130837725758",8768245
2759364246,Houdan,"48.7958491, 1.6029958999999998",8739346
404745648,Gare de L'Est,"48.876720750000004, 2.3583182000000003",8711300
3058912817,Houdan,"48.7957582, 1.6028205",8739346
274392661,Vulaines-sur-Seine - Samoreau,"48.430513063726806, 2.75335193360884",8768244
2756522493,Tacoignières - Richebourg,"48.8296826, 1.6686322",8739345
401355363,Gare du Nord,"48.881105700000006, 2.35484795",8727102
4387558647,Tacoignières - Richebourg,"48.8294191, 1.6690265",8739345
401355370,Gare du Nord,"48.8803295, 2.3551284",8727102
2806838376,Rambouillet,"48.6435584, 1.8321889",8739331
319644589,Bibliothèque François Mitterrand,"48.82990146746745, 2.376656467224972",8732832
2806838424,Rambouillet,"48.6436716, 1.8321142",8739331
262275900,Boissise-le-Roi,"48.52906879052742, 2.572424922776691",8768251
2806838432,Rambouillet,"48.6436846, 1.8316221",8739331
403889830,Gare du Nord,"48.88033088418806, 2.355325194355375",8727102
2806838483,Rambouillet,"48.6438864, 1.8325201999999998",8739331
2750230882,Vaires - Torcy,"48.8750456, 2.6395906",8711629
3624753825,Rambouillet,"48.6436579, 1.8317523",8739331
320306096,Bibliothèque François Mitterrand,"48.83048945, 2.3771524",8732832
2809095379,Le Perray en Yvelines,"48.6928243, 1.8564143",8739329
2836862942,Gretz-Armainvilliers,"48.7463837, 2.7274032",8711601
2809095394,Le Perray en Yvelines,"48.693016, 1.8564913",8739329
3113760881,Gretz-Armainvilliers,"48.7455019, 2.728781",8711601
2809097513,Le Perray en Yvelines,"48.6931642, 1.8567166",8739329
406919676,Gare du Nord,"48.88156265672393, 2.357139734118069",8727102
2809097522,Le Perray en Yvelines,"48.6932303, 1.8567456999999998",8739329
230135002,Saint-Michel Notre-Dame,"48.853163686490234, 2.346463795657741",8754731
2809097523,Le Perray en Yvelines,"48.6932335, 1.8563651",8739329
406953919,Magenta,"48.88096815, 2.35865805",8728187
2813206326,Meulan - Hardricourt,"49.0056112, 1.9019727",8738183
385426416,Rosa Parks,"48.89651495128692, 2.374435876290171",8765479
2813206334,Meulan - Hardricourt,"49.0056374, 1.9020465",8738183
2804258564,Villiers-sur-Morin - Montbarbin,"48.8633525, 2.8827713",8711674
2813206356,Meulan - Hardricourt,"49.0056903, 1.9021026",8738183
230984210,Invalides,"48.86218487815027, 2.314926154472405",8739303
2813206826,Meulan - Hardricourt,"49.0060949, 1.9034282999999999",8738183
2804713477,Crécy La Chapelle,"48.8595701, 2.9047771",8711677
2816110001,Thun-le-Paradis,"49.0066585, 1.9194993",8738182
2779736090,Villeparisis - Mitry le Neuf,"48.9528888, 2.6025769",8727151
2791770033,Les Clairières de Verneuil,"48.9925324, 1.9558517",8738666
224302514,Gare de L'Est,"48.879429900000005, 2.359437749999999",8711300
2793352428,Vaux-sur-Seine,"49.0069988, 1.9635942",8738181
2779736124,Villeparisis - Mitry le Neuf,"48.9529934, 2.6024817000000002",8727151
2793352495,Vaux-sur-Seine,"49.0070747, 1.9636034",8738181
2779736169,Villeparisis - Mitry le Neuf,"48.9532926, 2.6032209",8727151
2793352652,Vaux-sur-Seine,"49.0073131, 1.9632486999999998",8738181
2774748352,Lagny Thorigny,"48.8821244, 2.7061591",8711631
2812830894,Maurecourt,"48.9873343, 2.0598213",8738148
2775226928,Mitry-Claye,"48.9757698, 2.6425316",8727152
1003105772,Conflans Fin d'Oise,"48.9888377, 2.0748512",8738145
333276941,Saint-Lazare,"48.87643650909204, 2.326745211155351",8738400
2790466046,Conflans Fin d'Oise,"48.9912673, 2.073704",8738145
343731914,Thieux - Nantouillet,"49.0084346, 2.6805271",8727205
4217007292,Conflans Fin d'Oise,"48.989317, 2.074412",8738145
322813461,Montry - Condé-Sainte-Libiaire,"48.8909637, 2.8260486",8711640
2792883188,Conflans Fin d'Oise,"48.9918337, 2.0749279",8738145
2803864715,Montry - Condé-Sainte-Libiaire,"48.8906446, 2.8264894",8711640
2792883208,Conflans Fin d'Oise,"48.9918433, 2.074895",8738145
2803999788,Montry - Condé-Sainte-Libiaire,"48.8900517, 2.8274078",8711640
2792883213,Conflans Fin d'Oise,"48.9918433, 2.0750593999999998",8738145
402687337,Gare de L'Est,"48.87660983857171, 2.359656024360591",8711300
2792883301,Conflans Fin d'Oise,"48.9918864, 2.075991",8738145
2791756274,Montereau,"48.3796589, 2.941311",8768230
2792883427,Conflans Fin d'Oise,"48.992011, 2.0750265",8738145
2778014884,Montereau,"48.3794424, 2.943281",8768230
4149655892,Conflans Fin d'Oise,"48.9916658, 2.0734487",8738145
404730138,Gare de L'Est,"48.87637125000001, 2.35942865",8711300
255555288,Survilliers - Fosses,"49.09941842702732, 2.524955847056543",8727626
3200689488,Montereau,"48.3798351, 2.9435070999999997",8768230
63064471,Beynes,"48.85936621881563, 1.875588425040074",8739336
365604412,Gare de Lyon,"48.8435645, 2.3749649",8768600
156362108,Les-Essarts-le-Roi,"48.7207489, 1.8913832",8739328
366081531,Gare de Lyon,"48.84358259564523, 2.376131492118886",8768600
414770745,Les-Essarts-le-Roi,"48.722104821855034, 1.890583559057632",8739328
2724198080,Longueville,"48.513499, 3.2500641",8711613
372455258,Coignières,"48.74369233560235, 1.920919761538556",8739327
366504033,Gare de Lyon,"48.8445455870586, 2.375213595701841",8768600
372455259,Coignières,"48.743646222105774, 1.920829366979691",8739327
320306169,Bibliothèque François Mitterrand,"48.82950905, 2.3769676",8732832
87808167,La Verrière,"48.75520745, 1.943416249999999",8739325
2724198150,Longueville,"48.5138099, 3.2497663",8711613
27176700,La Verrière,"48.75555502110671, 1.9425149396419161",8739325
2724198197,Longueville,"48.51411, 3.2496895",8711613
87808211,La Verrière,"48.7556217, 1.94351815",8739325
320306197,Bibliothèque François Mitterrand,"48.829552699999994, 2.3770816",8732832
177706201,Trappes,"48.77434668643412, 2.005829474124854",8739383
320306200,Bibliothèque François Mitterrand,"48.8296247, 2.3775329",8732832
177895998,Trappes,"48.77432322157698, 2.005799321956732",8739383
2509423770,Ozoir-La-Ferrière,"48.7707049, 2.6897646",8711602
231381752,Montigny - Beauchamp,"49.00773525756839, 2.196432067192132",8727608
2540082129,Ozoir-La-Ferrière,"48.7709042, 2.6902846",8711602
231370039,Montigny - Beauchamp,"49.00740788941542, 2.19806441614979",8727608
411282786,Porte de Clichy,"48.89405615, 2.3151809500000002",8711127
415725910,Sarcelles - Saint-Brice,"48.99514226835983, 2.368510995734235",8727638
2836924006,Ozoir-La-Ferrière,"48.7709541, 2.6900744999999997",8711602
204215576,Écouen - Ézanville,"49.02286876955414, 2.3634045059975533",8727639
411282837,Porte de Clichy,"48.8945287, 2.3169545",8711127
204215581,Écouen - Ézanville,"49.02298091751988, 2.363208589902122",8727639
369006839,Gare de Lyon,"48.8448549, 2.3735509",8768600
244220554,Écouen - Ézanville,"49.02263666772131, 2.362942899802763",8727639
2837968602,Émerainville Pontault-Combault,"48.8060729, 2.6187047999999997",8711604
87819316,Saint-Quentin en Yvelines,"48.7876099, 2.044488099999999",8739384
2837968614,Émerainville Pontault-Combault,"48.8061266, 2.6181123",8711604
278658787,Écouen - Ézanville,"49.022964200000004, 2.36282805",8727639
2837968626,Émerainville Pontault-Combault,"48.8061834, 2.6179359",8711604
109893936,Villiers-le-Bel - Gonesse - Arnouville,"48.99370039609044, 2.416522778465457",8727622
2837968651,Émerainville Pontault-Combault,"48.8063636, 2.6177953",8711604
129603955,Épône-Mézières,"48.96332185, 1.808119",8738676
2430388441,Chelles Gournay,"48.87453, 2.5820472",8711611
276737698,Gargenville,"48.983266, 1.80956805",8738156
380062594,Bibliothèque François Mitterrand,"48.8297758, 2.3769022",8732832
129876523,Aubergenville Élisabethville,"48.97170139181643, 1.8476631402037231",8738673
2811146322,Chelles Gournay,"48.8739905, 2.5816615",8711611
103354230,Bessancourt,"49.03528973333599, 2.2103815872759762",8727664
2697744211,Savigny-le-Temple - Nandy,"48.5954586, 2.5834882",8768218
121498542,Bessancourt,"49.035986699999995, 2.20958055",8727664
305833992,Paris Austerlitz,"48.8416044, 2.36641435",8754700
371747772,Taverny,"49.025432853454504, 2.221099999568871",8727663
2697749859,Lieusaint-Moissy,"48.6280382, 2.5689988",8768215
277275441,Mantes la Jolie,"48.98954442754334, 1.703284957137985",8738150
356345165,Bibliothèque François Mitterrand,"48.8296252, 2.37711425",8732832
80486158,Dourdan,"48.53340586669892, 2.010407901446653",8754552
2697749921,Lieusaint-Moissy,"48.6283186, 2.5688391",8768215
244220575,Groslay,"48.9843573409171, 2.352754505076386",8727636
110559025,Gare du Nord,"48.88101705, 2.35607765",8727102
244220611,Groslay,"48.984355482417484, 2.353671904749679",8727636
2697750358,Lieusaint-Moissy,"48.629274, 2.5690686",8768215
244220619,Groslay,"48.98411673237108, 2.353251259029237",8727636
111413906,Gare du Nord,"48.882463598347925, 2.357864832228198",8727102
82568395,Sermaise,"48.53521301127696, 2.068493190016371",8754551
2750230835,Vaires - Torcy,"48.8750021, 2.6398509",8711629
246280423,Saint-Martin d'Etampes,"48.42761555, 2.14537885",8754535
243009021,Gare du Nord,"48.881727121599226, 2.357293505037921",8727102
80464617,Étampes,"48.437408872913714, 2.159614040105018",8754513
262264961,Melun,"48.52857736790949, 2.654007735829188",8768200
227956684,Étampes,"48.43713375, 2.15964965",8754513
295967800,Melun,"48.527533899999995, 2.6539963",8768200
146250594,Boigneville,"48.342232082917235, 2.378951063609695",8768440
2813829812,Guérard - La Celle-sur-Morin,"48.8104155, 2.9549688",8711626
131143285,Breuillet Village,"48.56465040633555, 2.171248002530363",8754549
2734629673,Esbly,"48.9031953, 2.8104138",8711632
246282645,Breuillet Village,"48.5649948, 2.17153155",8754549
2865205276,Coulommiers,"48.8080545, 3.0811699",8711630
410078150,Versailles Chantiers,"48.79515031391013, 2.134802341124768",8739300
2750051895,Esbly,"48.9031361, 2.8107727000000002",8711632
127912925,Porchefontaine,"48.796734357069624, 2.153555238999796",8739316
3957431178,Trilport,"48.9602744, 2.9493844",8711649
277300544,Mantes la Jolie,"48.988896499999996, 1.70388275",8738150
2804160055,Couilly - Saint-Germain - Quincy,"48.8831111, 2.8539084",8711673
283185635,Montreuil,"48.80627331112115, 2.152040776481819",8738287
2430388398,Chelles Gournay,"48.8745912, 2.58459",8711611
147215125,Mareil-Marly,"48.88089878494089, 2.078982685478237",8738281
2430388440,Chelles Gournay,"48.8742353, 2.5847455999999998",8711611
148818296,Poissy,"48.93320465496874, 2.039462039230324",8738657
2811146302,Chelles Gournay,"48.8736935, 2.5824854",8711611
276037056,Maisons-Laffitte,"48.94594925589665, 2.144214593708953",8738642
2811147834,Chelles Gournay,"48.8742304, 2.5835943",8711611
421260333,Poissy,"48.93335855, 2.040971599999999",8738657
190664890,Gare de Lyon,"48.84454219999999, 2.37726265",8768600
2806874850,Grand Bourg,"48.648196, 2.4358783",8768135
321134224,Dammartin - Juilly - Saint-Mard,"49.031453658194344, 2.698192695348582",8727153
2875749850,Grand Bourg,"48.6478065, 2.4362752",8768135
116134633,Montry - Condé-Sainte-Libiaire,"48.890771477953514, 2.8263454140190643",8711640
216634773,Rambouillet,"48.6442407, 1.8348912",8739331
353638660,Gare de Lyon,"48.84511876787152, 2.373606008280386",8768600
421310772,Maisons-Laffitte,"48.945871, 2.1445497",8738642
354391121,Gare de Lyon,"48.84476625467923, 2.376094925904868",8768600
417368041,Rambouillet,"48.64383416711911, 1.831871976738099",8739331
112059609,Meaux,"48.95686672546253, 2.8739351745008292",8711610
4179084232,Massy Palaiseau,"48.7256944, 2.2612402",8739357
2734467856,Changis Saint-Jean,"48.9593435, 3.0245125",8711650
420739523,Sartrouville,"48.93680241747971, 2.159381289306053",8738641
401608508,Meaux,"48.9567563361811, 2.873939467991756",8711610
67261190,Conflans-Sainte-Honorine,"48.997637548527166, 2.099218442896661",8738189
355771867,Gare de Lyon,"48.84385780906083, 2.375489982876502",8768600
2510778411,Juvisy sur Orge,"48.6910064, 2.3819914",8754524
417328460,Meaux,"48.957835849999995, 2.8735147999999997",8711610
2805943817,Viry-Châtillon,"48.6759325, 2.3871085",8768131
300446254,Mouroux,"48.81403625, 3.04240045",8711628
192713542,Vaux-sur-Seine,"49.007168050000004, 1.9631124500000001",8738181
362935010,Gare de Lyon,"48.84433165, 2.3767128",8768600
2805943849,Viry-Châtillon,"48.6762229, 2.3867196",8768131
262603634,Souppes-sur-Loing - Château-Landon,"48.18143605, 2.735472149999999",8768421
2805943865,Viry-Châtillon,"48.6763203, 2.3863027",8768131
260145574,Coulommiers,"48.80778655345199, 3.082068261636029",8711630
2805882960,Vigneux sur Seine,"48.7080872, 2.4136653",8768130
262533367,Nemours Saint-Pierre,"48.26777090183147, 2.685507238913858",8768412
48815502,Meulan - Hardricourt,"49.006223475235785, 1.9023423265484132",8738183
149219023,Changis Saint-Jean,"48.959380716052884, 3.025198556612149",8711650
4215535219,Yerres,"48.7067057, 2.4833119999999997",8768211
2710063900,Villeneuve-Saint-Georges,"48.7305306, 2.4462978",8768182
2698605900,Brunoy,"48.6984663, 2.5071607",8768212
4104898801,Gare Montparnasse,"48.8414716, 2.3200541",8739100
409737587,Versailles Chantiers,"48.79599245, 2.1338604",8739300
4106399132,Gare Montparnasse,"48.8408299, 2.3207424",8739100
211479150,Les Clairières de Verneuil,"48.992541821552, 1.955421923777403",8738666
3547487166,Villeneuve-Saint-Georges,"48.7301252, 2.4462682",8768182
365519157,Saint-Quentin en Yvelines,"48.78720208473865, 2.044914300003402",8739384
2790206205,Villeneuve Triage,"48.7453833, 2.4381991",8768180
4217007331,Conflans Fin d'Oise,"48.9918512, 2.0747095",8738145
4121146281,Gare Montparnasse,"48.8408766, 2.3200738",8739100
4217007333,Conflans Fin d'Oise,"48.9918636, 2.0752706",8738145
3526017151,Houilles - Carrières-Sur-Seine,"48.9199114, 2.1851844",8738640
28823916,Fontenay-le-Fleury,"48.80775258935941, 2.041373912583304",8739340
2386627216,Saint-Michel Notre-Dame,"48.8533987, 2.3455384",8754731
113731417,Saint-Quentin en Yvelines,"48.786790802535116, 2.045567134987663",8739384
2671886874,Créteil Pompadour,"48.7707474, 2.4349249",8760880
2874462845,Versailles Château Rive-Gauche,"48.8001692, 2.1289766",8739315
2806820041,Maisons-Laffitte,"48.9458458, 2.1447759",8738642
2874462853,Versailles Château Rive-Gauche,"48.8002458, 2.1291713",8739315
4215736756,Saint-Michel Notre-Dame,"48.8536385, 2.3449666000000002",8754731
161395276,Versailles Chantiers,"48.7958177, 2.1363505",8739300
1994675048,Les Ardoines,"48.7829298, 2.4089596",8749210
246165360,Saint-Quentin en Yvelines,"48.787700150000006, 2.0454228",8739384
4206691266,Sartrouville,"48.9378254, 2.1570707",8738641
2476550893,Versailles Chantiers,"48.7955355, 2.1361037",8739300
3134175291,Paris Austerlitz,"48.8413338, 2.3662533",8754700
2514502894,Versailles Chantiers,"48.7951338, 2.1342692",8739300
2529252382,Vitry sur Seine,"48.8007326, 2.4022331",8754529
2532463266,Versailles Chantiers,"48.7951966, 2.1360575",8739300
2811861328,Conflans-Sainte-Honorine,"48.996403, 2.0971897",8738189
85467989,Longjumeau,"48.7023247279753, 2.2944818258304203",8739361
4069972848,Paris Austerlitz,"48.8413021, 2.3665801",8754700
421300431,Corbeil Essonne,"48.61425234962266, 2.474077597144422",8768100
2811861340,Conflans-Sainte-Honorine,"48.9965509, 2.0980259",8738189
2889459348,Versailles Rive Droite,"48.8095634, 2.1359803",8738286
2671553322,Le Vert de Maisons,"48.7901797, 2.4311153",8768124
2889459370,Versailles Rive Droite,"48.8096209, 2.1356982",8738286
4102393054,Paris Austerlitz,"48.8412051, 2.365997",8754700
2889459372,Versailles Rive Droite,"48.8096289, 2.1350535",8738286
2811861390,Conflans-Sainte-Honorine,"48.996884, 2.0980698",8738189
26250185,Massy Palaiseau,"48.72447991697006, 2.255912677360561",8739357
4102393076,Paris Austerlitz,"48.8412533, 2.3659058",8754700
411757990,Évry - Courcouronnes,"48.6258871, 2.428592199999999",8768138
4102393091,Paris Austerlitz,"48.8412785, 2.3661595",8754700
2531379899,Chaville Vélizy,"48.7997121, 2.1845055",8739317
4102393095,Paris Austerlitz,"48.8412936, 2.3658899",8754700
345133389,Massy Palaiseau,"48.725831400000004, 2.2567995",8739357
2790740446,Le Vert de Maisons,"48.7890223, 2.4320224",8768124
2677865458,Essonnes Robinson,"48.6061317, 2.463581",8768160
63397993,Houdan,"48.79596150787061, 1.602100168294608",8739346
417349845,Massy Palaiseau,"48.72603282085723, 2.261253971057733",8739357
